"region","LAT","LON"
"10455",40.8148,-73.90862
"10458",40.86249,-73.88643
"10467",40.87522,-73.872
"11236",40.63951,-73.90098
"10028",40.77643,-73.95339
"11223",40.59711,-73.97344
"11210",40.62801,-73.94631
"10039",40.82631,-73.93752
"10303",40.63223,-74.16903
"11213",40.67117,-73.93632
"11208",40.67481,-73.87243
"10451",40.82097,-73.92383
"10460",40.84273,-73.87891
"11220",40.64142,-74.01741
"11207",40.67016,-73.89383
"11375",40.72315,-73.84373
"10463",40.88841,-73.89905
"10304",40.60671,-74.0931
"11212",40.6629,-73.91308
"11233",40.67827,-73.91994
"11691",40.60152,-73.76173
"10468",40.8681,-73.89985
"11222",40.72862,-73.94764
"10472",40.82968,-73.86942
"11221",40.6914,-73.92764
"10312",40.54489,-74.18084
"11434",40.67683,-73.77623
"10456",40.83064,-73.90812
"11355",40.75143,-73.82125
"11419",40.68863,-73.82302
"11238",40.67105,-73.96636
"11372",40.75172,-73.88367
"10023",40.77464,-73.97836
"11225",40.6631,-73.95392
"10002",40.71597,-73.98692
"10305",40.59592,-74.07539
"10016",40.74515,-73.97807
"10037",40.81302,-73.93776
"10459",40.82572,-73.89295
"10032",40.839,-73.94282
"11432",40.71491,-73.79295
"10453",40.85248,-73.9133
"10457",40.84571,-73.89794
"11228",40.61678,-74.01337
"11201",40.69477,-73.99031
"11226",40.64636,-73.95666
"11422",40.66053,-73.73658
"11209",40.62175,-74.03013
"10004",40.69431,-74.01835
"11356",40.78492,-73.84149
"10026",40.80302,-73.95348
"11109",40.7463,-73.95699
"11217",40.68242,-73.97943
"11692",40.59373,-73.79201
"10024",40.78534,-73.97138
"10452",40.8378,-73.92333
"10033",40.84744,-73.93549
"11693",40.59649,-73.81663
"10473",40.81817,-73.85889
"10030",40.81826,-73.94283
"11416",40.68458,-73.84967
"11420",40.67352,-73.8177
"11206",40.7019,-73.94254
"11368",40.74962,-73.85264
"10019",40.76586,-73.9853
"10475",40.87528,-73.82702
"11229",40.60047,-73.94453
"10031",40.82485,-73.95023
"11423",40.71564,-73.76826
"11216",40.68085,-73.94929
"10470",40.89598,-73.86805
"11237",40.70427,-73.92108
"10301",40.62803,-74.09564
"11385",40.70103,-73.89011
"10469",40.86851,-73.84666
"11365",40.73983,-73.79499
"11105",40.779,-73.90652
"10014",40.73407,-74.00601
"10040",40.85807,-73.9296
"10035",40.79538,-73.92965
"11694",40.57532,-73.85099
"10022",40.75856,-73.96787
"11362",40.75899,-73.73583
"11433",40.69805,-73.78675
"10012",40.7256,-73.99794
"10310",40.63243,-74.11653
"11417",40.67641,-73.84455
"10029",40.79265,-73.94788
"10454",40.8056,-73.91664
"11204",40.61883,-73.98496
"11203",40.64958,-73.93431
"11412",40.69804,-73.759
"10306",40.57149,-74.1243
"10010",40.73899,-73.98243
"10461",40.84671,-73.84079
"11435",40.70111,-73.80968
"11224",40.57652,-73.9891
"11235",40.58411,-73.94331
"11211",40.71428,-73.94602
"11106",40.76191,-73.93169
"10462",40.84297,-73.85873
"10009",40.72639,-73.97865
"10025",40.79825,-73.96831
"11428",40.72099,-73.74222
"11249",40.71121,-73.96318
"10013",40.72001,-74.00472
"11370",40.77554,-73.88766
"11214",40.59928,-73.99644
"11232",40.65692,-74.00727
"10465",40.8286,-73.82179
"11377",40.74483,-73.90516
"11101",40.74679,-73.93916
"11411",40.69406,-73.73623
"11219",40.63267,-73.99672
"10314",40.60086,-74.16306
"11421",40.69403,-73.85865
"10466",40.89104,-73.8461
"11234",40.6072,-73.91107
"11205",40.69654,-73.96807
"10001",40.75064,-73.99728
"11367",40.73044,-73.82274
"11369",40.76345,-73.87222
"11230",40.6221,-73.96525
"10065",40.76472,-73.96332
"10034",40.86749,-73.92358
"11231",40.67603,-74.00644
"10011",40.74173,-74.00037
"11429",40.70958,-73.73843
"11366",40.73112,-73.7804
"10302",40.63055,-74.13776
"11413",40.67002,-73.75116
"11373",40.73892,-73.87854
"11102",40.77161,-73.92619
"11103",40.76261,-73.91334
"10017",40.75235,-73.9726
"10036",40.75976,-73.99064
"11364",40.74625,-73.75598
"11415",40.70808,-73.82801
"10128",40.78151,-73.95018
"11354",40.7686,-73.82743
"11218",40.64315,-73.97645
"11358",40.76038,-73.79648
"10471",40.90002,-73.9067
"11378",40.72493,-73.91034
"10038",40.70914,-74.00298
"11379",40.71709,-73.88056
"11374",40.72647,-73.86144
"11239",40.64733,-73.87136
"11436",40.67587,-73.79664
"10027",40.81187,-73.95459
"10474",40.81061,-73.8846
"11418",40.70032,-73.83603
"11040",40.74572,-73.67979
"10021",40.76963,-73.95899
"11215",40.66255,-73.98687
"11427",40.73094,-73.74569
"10307",40.50817,-74.24254
"10003",40.73184,-73.98915
"10044",40.76209,-73.94981
"10018",40.75536,-73.99265
"11361",40.76393,-73.77294
"11104",40.74484,-73.92049
"10069",40.77752,-73.98875
"11414",40.65818,-73.8448
"11357",40.78636,-73.81094
"10280",40.70985,-74.01651
"10309",40.53001,-74.21912
"11360",40.7805,-73.78159
"10075",40.77342,-73.95642
"11004",40.74621,-73.71147
"11426",40.73641,-73.7223
"11359",40.79147,-73.77662
"10005",40.70614,-74.00862
"10282",40.71655,-74.01495
"10464",40.86821,-73.80044
"10007",40.71387,-74.00792
"11363",40.77251,-73.74708
"10308",40.55213,-74.15029
"11001",40.72356,-73.70451
"10006",40.70949,-74.01306
"10152",40.75872,-73.9718
"11371",40.77445,-73.87316
"10170",40.75263,-73.97588
"10177",40.75498,-73.97589
"11430",40.64703,-73.78717
"10111",40.75953,-73.97858
"10020",40.75917,-73.98071
"11439",40.72195,-73.79455
"10162",40.76936,-73.94986
"10165",40.75213,-73.97872
"10103",40.76078,-73.97767
"10168",40.75145,-73.9771
